wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss
0.26,0.0492962,0.000338664,0.000308415,0.000139905,0.0560829,0.000356939,0.000336671,0.000118567,-2.38542e-05,0.000257506,3.22931e-05,0.000255473,6.45037e-05,8.6879e-05,4.20745e-05,7.60112e-05
0.260207,0.0487697,0.000331186,0.000301047,0.000138039,0.0554531,0.000348161,0.000328206,0.000116175,-2.36921e-05,0.000255447,3.21649e-05,0.000253414,6.4251e-05,8.62105e-05,4.17836e-05,7.54081e-05
0.260415,0.0482427,0.000324032,0.000294031,0.000136171,0.0548224,0.000339681,0.000320057,0.000113782,-2.35302e-05,0.000253387,3.20367e-05,0.000251353,6.39984e-05,8.55419e-05,4.14933e-05,7.48045e-05
0.260623,0.0477153,0.000317238,0.000287408,0.000134302,0.0541909,0.000331536,0.000312264,0.000111387,-2.33683e-05,0.000251325,3.19087e-05,0.000249291,6.3746e-05,8.48732e-05,4.12037e-05,7.42004e-05
0.260831,0.0471875,0.000310838,0.000281216,0.000132431,0.0535589,0.000323763,0.000304867,0.000108991,-2.32066e-05,0.000249261,3.17807e-05,0.000247227,6.34938e-05,8.42044e-05,4.09148e-05,7.35959e-05
0.261039,0.0466596,0.000304865,0.000275494,0.000130558,0.0529265,0.000316399,0.000297904,0.000106592,-2.3045e-05,0.000247196,3.16528e-05,0.000245161,6.32416e-05,8.35355e-05,4.06266e-05,7.29908e-05
0.261247,0.0461315,0.000299349,0.000270278,0.000128685,0.052294,0.000309478,0.000291412,0.000104191,-2.28835e-05,0.00024513,3.1525e-05,0.000243094,6.29897e-05,8.28666e-05,4.0339e-05,7.23853e-05
0.261455,0.0456035,0.000294318,0.000265598,0.000126809,0.0516613,0.000303035,0.000285429,0.000101788,-2.27222e-05,0.000243061,3.13973e-05,0.000241025,6.27378e-05,8.21976e-05,4.00521e-05,7.17793e-05
0.261664,0.0450756,0.000289797,0.000261484,0.000124932,0.0510288,0.000297101,0.000279986,9.93839e-05,-2.2561e-05,0.000240992,3.12697e-05,0.000238954,6.24862e-05,8.15286e-05,3.9766e-05,7.11728e-05
0.261873,0.0445479,0.000285806,0.000257959,0.000123054,0.0503966,0.000291705,0.000275113,9.69775e-05,-2.23999e-05,0.000238921,3.11422e-05,0.000236882,6.22347e-05,8.08595e-05,3.94805e-05,7.05659e-05
0.262081,0.0440206,0.000282361,0.000255038,0.000121174,0.0497649,0.00028687,0.000270835,9.45691e-05,-2.22389e-05,0.000236848,3.10148e-05,0.000234808,6.19833e-05,8.01904e-05,3.91958e-05,6.99584e-05
0.262291,0.0434937,0.000279472,0.000252733,0.000119293,0.0491338,0.000282618,0.00026717,9.21588e-05,-2.20781e-05,0.000234774,3.08875e-05,0.000232733,6.17321e-05,7.95212e-05,3.89119e-05,6.93505e-05
0.2625,0.0429673,0.000277144,0.000251046,0.00011741,0.0485036,0.000278962,0.000264131,8.97466e-05,-2.19174e-05,0.000232698,3.07603e-05,0.000230656,6.14811e-05,7.8852e-05,3.86286e-05,6.87421e-05
0.262709,0.0424416,0.000275375,0.000249971,0.000115526,0.0478743,0.00027591,0.000261724,8.73325e-05,-2.17568e-05,0.00023062,3.06332e-05,0.000228577,6.12303e-05,7.81828e-05,3.83462e-05,6.81332e-05
0.262919,0.0419167,0.000274157,0.000249496,0.00011364,0.0472462,0.000273465,0.000259946,8.49164e-05,-2.15964e-05,0.000228542,3.05062e-05,0.000226496,6.09796e-05,7.75136e-05,3.80645e-05,6.75238e-05
0.263128,0.0413926,0.000273476,0.0002496,0.000111752,0.0466194,0.000271619,0.000258788,8.24984e-05,-2.14362e-05,0.000226461,3.03793e-05,0.000224414,6.07291e-05,7.68444e-05,3.77835e-05,6.69139e-05
0.263338,0.0408695,0.000273309,0.000250256,0.000109864,0.0459941,0.000270362,0.00025823,8.00785e-05,-2.1276e-05,0.000224379,3.02525e-05,0.00022233,6.04787e-05,7.61752e-05,3.75034e-05,6.63035e-05
0.263548,0.0403475,0.000273633,0.000251429,0.000107973,0.0453705,0.000269672,0.000258249,7.76567e-05,-2.11161e-05,0.000222296,3.01259e-05,0.000220245,6.02286e-05,7.5506e-05,3.72241e-05,6.56927e-05
0.263759,0.0398267,0.000274414,0.00025308,0.000106081,0.0447488,0.000269525,0.000258812,7.52329e-05,-2.09562e-05,0.000220211,2.99993e-05,0.000218158,5.99786e-05,7.48368e-05,3.69456e-05,6.50813e-05
0.263969,0.0393071,0.000275617,0.000255166,0.000104188,0.044129,0.000269887,0.000259881,7.28072e-05,-2.07966e-05,0.000218124,2.98728e-05,0.000216069,5.97288e-05,7.41677e-05,3.66679e-05,6.44695e-05
0.26418,0.038789,0.000277203,0.000257639,0.000102293,0.0435115,0.000270721,0.000261412,7.03795e-05,-2.0637e-05,0.000216036,2.97465e-05,0.000213979,5.94791e-05,7.34986e-05,3.6391e-05,6.38572e-05
0.26439,0.0382724,0.000279764,0.000260449,0.000102148,0.0428963,0.000272554,0.00026336,7.01942e-05,-2.04777e-05,0.000215861,2.96202e-05,0.000213819,5.92297e-05,7.33216e-05,3.6115e-05,6.38104e-05
0.264601,0.0377573,0.00028265,0.000263546,0.000102148,0.0422836,0.000274789,0.000265673,7.01942e-05,-2.03185e-05,0.000215844,2.94941e-05,0.000213819,5.89804e-05,7.31865e-05,3.58398e-05,6.38104e-05
0.264812,0.0372441,0.00028576,0.000266879,0.000102148,0.0416737,0.00027733,0.000268299,7.01942e-05,-2.01594e-05,0.000215826,2.93681e-05,0.000213819,5.87314e-05,7.30526e-05,3.55655e-05,6.38104e-05
0.265024,0.0367326,0.000289047,0.000270396,0.000102148,0.0410666,0.000280124,0.000271187,7.01942e-05,-2.00005e-05,0.000215809,2.92422e-05,0.000213819,5.84825e-05,7.29198e-05,3.52921e-05,6.38104e-05
0.265235,0.0362231,0.000292465,0.000274046,0.000102148,0.0404626,0.000283122,0.000274282,7.01942e-05,-1.98418e-05,0.000215792,2.91164e-05,0.000213819,5.82338e-05,7.27883e-05,3.50195e-05,6.38104e-05
0.265447,0.0357156,0.000295968,0.000277782,0.000102148,0.0398618,0.000286271,0.000277532,7.01942e-05,-1.96832e-05,0.000215775,2.89908e-05,0.000213819,5.79854e-05,7.2658e-05,3.47478e-05,6.38104e-05
0.265658,0.0352103,0.000299512,0.000281555,0.000102148,0.0392643,0.000289523,0.000280885,7.01942e-05,-1.95248e-05,0.000215759,2.88653e-05,0.000213819,5.77371e-05,7.25289e-05,3.44771e-05,6.38104e-05
0.26587,0.0347072,0.000303053,0.000285319,0.000102148,0.0386705,0.000292829,0.000284292,7.01942e-05,-1.93665e-05,0.000215742,2.87398e-05,0.000213819,5.7489e-05,7.2401e-05,3.42072e-05,6.38104e-05
0.266082,0.0342065,0.00030655,0.000289031,0.000102148,0.0380803,0.000296141,0.000287702,7.01942e-05,-1.92085e-05,0.000215725,2.86146e-05,0.000213819,5.72411e-05,7.22743e-05,3.39383e-05,6.38104e-05
0.266295,0.0337082,0.000309963,0.000292648,0.000102148,0.0374941,0.000299414,0.00029107,7.01942e-05,-1.90506e-05,0.000215709,2.84894e-05,0.000213819,5.69934e-05,7.21489e-05,3.36703e-05,6.38104e-05
0.266507,0.0332125,0.000313253,0.00029613,0.000102148,0.036912,0.000302604,0.00029435,7.01942e-05,-1.88928e-05,0.000215692,2.83644e-05,0.000213819,5.6746e-05,7.20247e-05,3.34033e-05,6.38104e-05
0.26672,0.0327196,0.000316384,0.00029944,0.000102148,0.0363341,0.000305669,0.0002975,7.01942e-05,-1.87353e-05,0.000215676,2.82395e-05,0.000213819,5.64987e-05,7.19017e-05,3.31372e-05,6.38104e-05
0.266932,0.0322294,0.000319321,0.000302542,0.000102148,0.0357606,0.00030857,0.00030048,7.01942e-05,-1.85779e-05,0.000215659,2.81147e-05,0.000213819,5.62517e-05,7.17799e-05,3.28721e-05,6.38104e-05
0.267145,0.0317421,0.000322031,0.000305401,0.000102148,0.0351917,0.000311268,0.000303249,7.01942e-05,-1.84207e-05,0.000215643,2.799e-05,0.000213819,5.60049e-05,7.16593e-05,3.2608e-05,6.38104e-05
0.267358,0.0312578,0.000324482,0.000307984,0.000102148,0.0346275,0.000313726,0.000305773,7.01942e-05,-1.82637e-05,0.000215627,2.78655e-05,0.000213819,5.57583e-05,7.15399e-05,3.23449e-05,6.38104e-05
0.267572,0.0307766,0.000326645,0.000310262,0.000102148,0.0340683,0.000315911,0.000308014,7.01942e-05,-1.81069e-05,0.000215611,2.77411e-05,0.000213819,5.55119e-05,7.14218e-05,3.20827e-05,6.38104e-05
0.267785,0.0302986,0.000328491,0.000312205,0.000102148,0.0335142,0.00031779,0.000309941,7.01942e-05,-1.79502e-05,0.000215595,2.76169e-05,0.000213819,5.52657e-05,7.13049e-05,3.18216e-05,6.38104e-05
0.267999,0.0298239,0.000329994,0.000313786,0.000102148,0.0329654,0.000319333,0.000311522,7.01942e-05,-1.77938e-05,0.000215579,2.74928e-05,0.000213819,5.50198e-05,7.11892e-05,3.15615e-05,6.38104e-05
0.268213,0.0293527,0.000331128,0.000314979,0.000102148,0.0324221,0.000320508,0.000312727,7.01942e-05,-1.76375e-05,0.000215563,2.73688e-05,0.000213819,5.47741e-05,7.10747e-05,3.13025e-05,6.38104e-05
0.268426,0.028885,0.000331871,0.00031576,0.000102148,0.0318843,0.00032129,0.000313528,7.01942e-05,-1.74814e-05,0.000215548,2.7245e-05,0.000213819,5.45286e-05,7.09615e-05,3.10445e-05,6.38104e-05
0.268641,0.028421,0.000331761,0.000316106,0.000100712,0.0313523,0.0003217,0.000313899,7.04184e-05,-1.73255e-05,0.000211096,2.71213e-05,0.000209346,5.42833e-05,6.99323e-05,3.07875e-05,6.27906e-05
0.268855,0.0279607,0.000331146,0.000315996,9.90159e-05,0.0308263,0.000321675,0.000313813,7.06831e-05,-1.71698e-05,0.000205842,2.69977e-05,0.000204064,5.40383e-05,6.8739e-05,3.05316e-05,6.15863e-05
0.269069,0.0275043,0.000330083,0.000315411,9.73184e-05,0.0303065,0.000321183,0.000313249,7.0948e-05,-1.70143e-05,0.000200586,2.68743e-05,0.000198777,5.37935e-05,6.75466e-05,3.02768e-05,6.0381e-05
0.269284,0.0270518,0.000328567,0.000314345,9.56195e-05,0.0297928,0.000320215,0.000312196,7.12132e-05,-1.6859e-05,0.000195327,2.6751e-05,0.000193487,5.3549e-05,6.63553e-05,3.00231e-05,5.91747e-05
0.269499,0.0266033,0.000326612,0.000312817,9.39193e-05,0.0292855,0.000318786,0.000310669,7.14785e-05,-1.67039e-05,0.000190066,2.66279e-05,0.000188192,5.33047e-05,6.51652e-05,2.97705e-05,5.79674e-05
0.269714,0.0261589,0.000324237,0.000310847,9.22177e-05,0.0287844,0.000316912,0.000308685,7.17441e-05,-1.6549e-05,0.000184803,2.65049e-05,0.000182893,5.30606e-05,6.39764e-05,2.9519e-05,5.67592e-05
0.269929,0.0257186,0.000321462,0.000308456,9.05147e-05,0.0282895,0.000314613,0.000306261,7.20099e-05,-1.63944e-05,0.000179538,2.63821e-05,0.000177589,5.28168e-05,6.2789e-05,2.92686e-05,5.55501e-05
0.270144,0.0252825,0.000318306,0.000305666,8.88104e-05,0.0278009,0.000311907,0.000303417,7.22759e-05,-1.62399e-05,0.000174272,2.62594e-05,0.000172282,5.25733e-05,6.16032e-05,2.90193e-05,5.43399e-05
0.27036,0.0248506,0.000314793,0.000302502,8.71047e-05,0.0273186,0.000308816,0.000300174,7.25421e-05,-1.60856e-05,0.000169003,2.61369e-05,0.00016697,5.23299e-05,6.0419e-05,2.87712e-05,5.31289e-05
0.270575,0.024423,0.000310946,0.000298989,8.53977e-05,0.0268425,0.000305361,0.000296554,7.28085e-05,-1.59315e-05,0.000163734,2.60145e-05,0.000161654,5.20869e-05,5.92367e-05,2.85243e-05,5.19168e-05
0.270791,0.0239998,0.000306787,0.000295152,8.36893e-05,0.0263728,0.000301567,0.00029258,7.30751e-05,-1.57777e-05,0.000158463,2.58923e-05,0.000156334,5.18441e-05,5.80564e-05,2.82785e-05,5.07038e-05
0.271007,0.023581,0.000302343,0.000291017,8.19795e-05,0.0259093,0.000297457,0.000288274,7.3342e-05,-1.5624e-05,0.000153192,2.57703e-05,0.000151009,5.16015e-05,5.68783e-05,2.8034e-05,4.94898e-05
0.271223,0.0231667,0.00029764,0.000286612,8.02684e-05,0.025452,0.000293056,0.000283661,7.3609e-05,-1.54706e-05,0.000147921,2.56484e-05,0.00014568,5.13592e-05,5.57025e-05,2.77906e-05,4.82748e-05
0.27144,0.022757,0.000292703,0.000281964,7.85559e-05,0.0250011,0.000288389,0.000278767,7.38763e-05,-1.53174e-05,0.00014265,2.55266e-05,0.000140347,5.11172e-05,5.45294e-05,2.75484e-05,4.70589e-05
0.271656,0.0223518,0.00028756,0.000277103,7.6842e-05,0.0245565,0.000283484,0.000273617,7.41438e-05,-1.51644e-05,0.00013738,2.5405e-05,0.00013501,5.08755e-05,5.3359e-05,2.73074e-05,4.5842e-05
0.271873,0.0219513,0.000282239,0.000272057,7.51268e-05,0.0241181,0.000278368,0.000268238,7.44115e-05,-1.50117e-05,0.000132111,2.52836e-05,0.000129669,5.0634e-05,5.21916e-05,2.70677e-05,4.46241e-05
0.27209,0.0215555,0.000276769,0.000266856,7.34102e-05,0.023686,0.000273068,0.000262658,7.46794e-05,-1.48591e-05,0.000126844,2.51623e-05,0.000124323,5.03927e-05,5.10276e-05,2.68292e-05,4.34052e-05
0.272307,0.0211644,0.000271179,0.000261531,7.16922e-05,0.0232603,0.000267613,0.000256904,7.49475e-05,-1.47068e-05,0.00012158,2.50412e-05,0.000118973,5.01518e-05,4.98672e-05,2.65919e-05,4.21854e-05
0.272524,0.0207782,0.000265498,0.000256112,6.99729e-05,0.0228408,0.000262034,0.000251006,7.52158e-05,-1.45547e-05,0.000116319,2.49203e-05,0.000113618,4.99111e-05,4.87107e-05,2.63559e-05,4.09646e-05
0.272742,0.0203969,0.000259758,0.000250631,6.82522e-05,0.0224276,0.000256359,0.000244994,7.54844e-05,-1.44029e-05,0.000111064,2.47995e-05,0.00010826,4.96707e-05,4.75585e-05,2.61212e-05,3.97429e-05
0.272959,0.0200205,0.000254186,0.000245119,6.72867e-05,0.0220208,0.000250446,0.000238897,7.51759e-05,-1.42512e-05,0.000109404,2.46789e-05,0.000106584,4.94306e-05,4.70547e-05,2.58878e-05,3.92934e-05
0.273177,0.0196492,0.000248677,0.000239608,6.65452e-05,0.0216203,0.00024444,0.000232747,7.46956e-05,-1.40999e-05,0.000108809,2.45585e-05,0.000106002,4.91907e-05,4.67432e-05,2.56557e-05,3.90731e-05
0.273395,0.0192829,0.000243201,0.000234129,6.5803e-05,0.021226,0.00023842,0.000226575,7.4215e-05,-1.39487e-05,0.000108215,2.44382e-05,0.000105419,4.89512e-05,4.64323e-05,2.54248e-05,3.88528e-05
0.273613,0.0189217,0.000237789,0.000228715,6.50603e-05,0.0208381,0.000232419,0.000220413,7.3734e-05,-1.37978e-05,0.00010762,2.43181e-05,0.000104836,4.87119e-05,4.61221e-05,2.51954e-05,3.86322e-05
0.273831,0.0185658,0.000232471,0.000223397,6.4317e-05,0.0204565,0.000226469,0.000214295,7.32527e-05,-1.36471e-05,0.000107024,2.41982e-05,0.000104252,4.84729e-05,4.58127e-05,2.49672e-05,3.84114e-05
0.27405,0.018215,0.000227276,0.000218204,6.3573e-05,0.0200813,0.000220599,0.000208251,7.27709e-05,-1.34967e-05,0.000106428,2.40785e-05,0.000103668,4.82342e-05,4.55039e-05,2.47404e-05,3.81905e-05
0.274268,0.0178696,0.000222232,0.000213166,6.28285e-05,0.0197123,0.000214843,0.000202316,7.22888e-05,-1.33465e-05,0.000105832,2.39589e-05,0.000103084,4.79958e-05,4.51958e-05,2.45149e-05,3.79694e-05
0.274487,0.0175295,0.000217366,0.000208312,6.20834e-05,0.0193497,0.00020923,0.000196522,7.18062e-05,-1.31965e-05,0.000105235,2.38395e-05,0.000102499,4.77577e-05,4.48884e-05,2.42908e-05,3.77482e-05
0.274706,0.0171949,0.000212703,0.000203667,6.13377e-05,0.0189934,0.00020379,0.000190902,7.13233e-05,-1.30468e-05,0.000104637,2.37203e-05,0.000101913,4.75198e-05,4.45817e-05,2.40681e-05,3.75267e-05
0.274925,0.0168657,0.000208264,0.000199255,6.05914e-05,0.0186435,0.000198553,0.000185486,7.084e-05,-1.28974e-05,0.00010404,2.36013e-05,0.000101328,4.72823e-05,4.42757e-05,2.38468e-05,3.73051e-05
0.275144,0.0165421,0.000204069,0.000195097,5.98445e-05,0.0182999,0.000193546,0.000180305,7.03563e-05,-1.27482e-05,0.000103442,2.34824e-05,0.000100741,4.70451e-05,4.39704e-05,2.36269e-05,3.70833e-05
0.275364,0.016224,0.000200135,0.000191211,5.9097e-05,0.0179627,0.000188792,0.000175387,6.98723e-05,-1.25992e-05,0.000102843,2.33638e-05,0.000100154,4.68082e-05,4.36659e-05,2.34084e-05,3.68613e-05
0.275584,0.0159117,0.000196473,0.000187609,5.83489e-05,0.0176318,0.000184316,0.000170756,6.93878e-05,-1.24505e-05,0.000102244,2.32453e-05,9.9567e-05,4.65716e-05,4.3362e-05,2.31914e-05,3.66391e-05
0.275803,0.015605,0.000193093,0.000184301,5.76002e-05,0.0173072,0.000180135,0.000166436,6.8903e-05,-1.23021e-05,0.000101645,2.3127e-05,9.89792e-05,4.63353e-05,4.30589e-05,2.29757e-05,3.64168e-05
0.276023,0.0153041,0.000189997,0.000181292,5.6851e-05,0.016989,0.000176264,0.000162444,6.84177e-05,-1.21539e-05,0.000101045,2.30089e-05,9.83909e-05,4.60993e-05,4.27565e-05,2.27616e-05,3.61943e-05
0.276244,0.015009,0.000187185,0.00017858,5.61011e-05,0.0166772,0.000172713,0.000158792,6.79321e-05,-1.2006e-05,0.000100445,2.2891e-05,9.78022e-05,4.58636e-05,4.24548e-05,2.25489e-05,3.59716e-05
0.276464,0.0147199,0.00018465,0.000176159,5.53506e-05,0.0163717,0.000169488,0.00015549,6.74461e-05,-1.18583e-05,9.98448e-05,2.27733e-05,9.7213e-05,4.56283e-05,4.21538e-05,2.23376e-05,3.57487e-05
0.276684,0.0144367,0.000182383,0.000174018,5.45995e-05,0.0160726,0.000166587,0.000152537,6.69597e-05,-1.17109e-05,9.92439e-05,2.26557e-05,9.66233e-05,4.53932e-05,4.18535e-05,2.21279e-05,3.55257e-05
0.276905,0.0141594,0.000180366,0.000172141,5.38479e-05,0.0157798,0.000164004,0.000149929,6.64729e-05,-1.15638e-05,9.86425e-05,2.25384e-05,9.60332e-05,4.51585e-05,4.1554e-05,2.19197e-05,3.53025e-05
0.277126,0.0138883,0.000178581,0.000170505,5.30956e-05,0.0154935,0.000161728,0.000147654,6.59858e-05,-1.14169e-05,9.80408e-05,2.24212e-05,9.54426e-05,4.49241e-05,4.12552e-05,2.17129e-05,3.50791e-05
0.277347,0.0136233,0.000177081,0.000169086,5.26089e-05,0.0152135,0.000159665,0.000145694,6.53178e-05,-1.12704e-05,9.76369e-05,2.23043e-05,9.50552e-05,4.46901e-05,4.10317e-05,2.15077e-05,3.49431e-05
0.277568,0.0133645,0.000175794,0.000167853,5.22387e-05,0.0149398,0.000157834,0.000144022,6.45701e-05,-1.1124e-05,9.732e-05,2.21875e-05,9.4757e-05,4.44563e-05,4.0842e-05,2.1304e-05,3.48455e-05
0.27779,0.0131119,0.000174654,0.000166774,5.18683e-05,0.0146726,0.000156238,0.000142608,6.38217e-05,-1.0978e-05,9.70028e-05,2.2071e-05,9.44586e-05,4.42229e-05,4.06535e-05,2.11019e-05,3.47478e-05
0.278011,0.0128656,0.000173628,0.000165815,5.14976e-05,0.0144117,0.000154845,0.000141417,6.30727e-05,-1.08322e-05,9.66855e-05,2.19546e-05,9.41599e-05,4.39898e-05,4.0466e-05,2.09014e-05,3.46501e-05
0.278233,0.0126257,0.000172682,0.000164939,5.11265e-05,0.0141573,0.000153618,0.000140408,6.23232e-05,-1.06867e-05,9.63681e-05,2.18385e-05,9.3861e-05,4.37571e-05,4.02796e-05,2.07024e-05,3.45523e-05
0.278455,0.0123922,0.000171779,0.00016411,5.07552e-05,0.0139092,0.000152519,0.000139538,6.1573e-05,-1.05415e-05,9.60504e-05,2.17225e-05,9.35619e-05,4.35247e-05,4.00944e-05,2.05049e-05,3.44544e-05
0.278677,0.0121652,0.000170886,0.000163289,5.03836e-05,0.0136675,0.000151506,0.000138761,6.08223e-05,-1.03966e-05,9.57327e-05,2.16068e-05,9.32625e-05,4.32926e-05,3.99102e-05,2.03091e-05,3.43564e-05
0.2789,0.0119447,0.000169967,0.000162443,5.00117e-05,0.0134322,0.000150536,0.000138031,6.00709e-05,-1.0252e-05,9.54147e-05,2.14912e-05,9.29629e-05,4.30609e-05,3.97271e-05,2.01149e-05,3.42584e-05
0.279122,0.0117308,0.000168991,0.000161536,4.96395e-05,0.0132033,0.000149569,0.000137303,5.9319e-05,-1.01076e-05,9.50966e-05,2.13759e-05,9.2663e-05,4.28295e-05,3.95452e-05,1.99223e-05,3.41603e-05
0.279345,0.0115235,0.000167939,0.00016055,4.9267e-05,0.0129808,0.00014857,0.00013654,5.85664e-05,-9.96356e-06,9.47783e-05,2.12607e-05,9.23629e-05,4.25984e-05,3.93643e-05,1.97313e-05,3.40621e-05
0.279567,0.0113226,0.000166806,0.000159479,4.88942e-05,0.0127645,0.000147519,0.000135719,5.78133e-05,-9.81978e-06,9.44599e-05,2.11458e-05,9.20626e-05,4.23678e-05,3.91845e-05,1.9542e-05,3.39638e-05
0.279791,0.011128,0.000165593,0.000158324,4.85211e-05,0.0125544,0.000146399,0.000134822,5.70595e-05,-9.6763e-06,9.41412e-05,2.10311e-05,9.1762e-05,4.21374e-05,3.90058e-05,1.93543e-05,3.38654e-05
0.280014,0.0109396,0.000164303,0.00015709,4.81477e-05,0.0123503,0.000145198,0.000133836,5.63052e-05,-9.53311e-06,9.38225e-05,2.09166e-05,9.14612e-05,4.19074e-05,3.88282e-05,1.91682e-05,3.3767e-05
0.280237,0.0107573,0.000162944,0.000155783,4.7774e-05,0.0121522,0.000143906,0.000132752,5.55502e-05,-9.39021e-06,9.35035e-05,2.08024e-05,9.11601e-05,4.16778e-05,3.86517e-05,1.89838e-05,3.36684e-05
0.280461,0.0105808,0.000161528,0.000154417,4.74e-05,0.01196,0.000142518,0.000131564,5.47947e-05,-9.24761e-06,9.31844e-05,2.06883e-05,9.08588e-05,4.14485e-05,3.84762e-05,1.88011e-05,3.35698e-05
0.280684,0.0104102,0.000160067,0.000153003,4.70257e-05,0.0117736,0.000141032,0.000130268,5.40385e-05,-9.10531e-06,9.28651e-05,2.05745e-05,9.05573e-05,4.12196e-05,3.83018e-05,1.86201e-05,3.34712e-05
0.280908,0.0102453,0.000158578,0.00015156,4.66511e-05,0.0115929,0.000139447,0.000128867,5.32818e-05,-8.96332e-06,9.25457e-05,2.04608e-05,9.02555e-05,4.0991e-05,3.81285e-05,1.84408e-05,3.33724e-05
0.281132,0.0100859,0.000157077,0.000150106,4.62762e-05,0.0114177,0.000137767,0.000127362,5.25244e-05,-8.82162e-06,9.22261e-05,2.03474e-05,8.99535e-05,4.07629e-05,3.79562e-05,1.82632e-05,3.32736e-05
0.281357,0.00993196,0.000155585,0.00014866,4.5901e-05,0.011248,0.000135996,0.000125758,5.17664e-05,-8.68024e-06,9.19063e-05,2.02342e-05,8.96512e-05,4.0535e-05,3.77851e-05,1.80873e-05,3.31747e-05
0.281581,0.00978332,0.000154122,0.000147245,4.55256e-05,0.0110838,0.000134139,0.000124062,5.10078e-05,-8.53916e-06,9.15864e-05,2.01213e-05,8.93487e-05,4.03076e-05,3.76149e-05,1.79132e-05,3.30757e-05
0.281806,0.00963986,0.000152716,0.000145881,4.51774e-05,0.0109248,0.000132275,0.000122284,5.04292e-05,-8.39838e-06,9.13199e-05,2.00085e-05,8.9101e-05,4.00805e-05,3.74511e-05,1.77408e-05,3.29826e-05
0.28203,0.00950145,0.000151387,0.000144592,4.48461e-05,0.010771,0.000130385,0.000120433,4.99615e-05,-8.25792e-06,9.10864e-05,1.9896e-05,8.88869e-05,3.98538e-05,3.72916e-05,1.75701e-05,3.28931e-05
0.282255,0.00936797,0.000150149,0.000143398,4.45145e-05,0.0106224,0.000128441,0.000118522,4.94934e-05,-8.11778e-06,9.08528e-05,1.97837e-05,8.86727e-05,3.96275e-05,3.71332e-05,1.74012e-05,3.28036e-05
0.282481,0.0092393,0.000149023,0.000142323,4.41826e-05,0.0104788,0.000126452,0.000116561,4.9025e-05,-7.97794e-06,9.06192e-05,1.96717e-05,8.84583e-05,3.94015e-05,3.69759e-05,1.7234e-05,3.2714e-05
0.282706,0.00911531,0.000148029,0.000141385,4.38505e-05,0.0103401,0.000124431,0.000114566,4.85562e-05,-7.83843e-06,9.03855e-05,1.95599e-05,8.82437e-05,3.9176e-05,3.68196e-05,1.70686e-05,3.26243e-05
0.282931,0.00899588,0.000147184,0.000140603,4.35181e-05,0.0102062,0.000122393,0.000112551,4.8087e-05,-7.69923e-06,9.01517e-05,1.94483e-05,8.80289e-05,3.89508e-05,3.66644e-05,1.6905e-05,3.25346e-05
0.283157,0.00888087,0.000146502,0.000139992,4.31855e-05,0.0100771,0.000120351,0.00011053,4.76174e-05,-7.56036e-06,8.99178e-05,1.93369e-05,8.7814e-05,3.8726e-05,3.65102e-05,1.67432e-05,3.24447e-05
0.283383,0.00877017,0.000145997,0.000139566,4.28526e-05,0.00995258,0.000118318,0.000108519,4.71475e-05,-7.4218e-06,8.96839e-05,1.92258e-05,8.75989e-05,3.85016e-05,3.63571e-05,1.65831e-05,3.23548e-05
0.283609,0.00866365,0.000145677,0.000139334,4.25194e-05,0.00983262,0.000116309,0.000106532,4.66772e-05,-7.28357e-06,8.94499e-05,1.91149e-05,8.73836e-05,3.82775e-05,3.6205e-05,1.64249e-05,3.22649e-05
0.283835,0.00856119,0.000145549,0.000139301,4.21859e-05,0.00971711,0.000114339,0.000104586,4.62065e-05,-7.14567e-06,8.92158e-05,1.90042e-05,8.71682e-05,3.80539e-05,3.60539e-05,1.62685e-05,3.21748e-05
0.284062,0.00846265,0.000145615,0.000139471,4.18522e-05,0.00960596,0.000112419,0.000102695,4.57354e-05,-7.0081e-06,8.89816e-05,1.88938e-05,8.69526e-05,3.78307e-05,3.59038e-05,1.61138e-05,3.20847e-05
0.284288,0.00836792,0.000145874,0.000139841,4.15182e-05,0.00949906,0.000110563,0.000100873,4.5264e-05,-6.87086e-06,8.87474e-05,1.87837e-05,8.67368e-05,3.76078e-05,3.57548e-05,1.5961e-05,3.19946e-05
0.284515,0.00827687,0.00014632,0.000140405,4.1184e-05,0.00939633,0.000108783,9.91335e-05,4.47921e-05,-6.73395e-06,8.85131e-05,1.86737e-05,8.65209e-05,3.73854e-05,3.56068e-05,1.581e-05,3.19043e-05
0.284742,0.00818938,0.000146945,0.000141152,4.08495e-05,0.00929766,0.000107089,9.74878e-05,4.432e-05,-6.59737e-06,8.82787e-05,1.8564e-05,8.63047e-05,3.71634e-05,3.54597e-05,1.56609e-05,3.1814e-05
0.284969,0.00810531,0.000147735,0.000142071,4.05147e-05,0.00920297,0.000105491,9.59462e-05,4.38474e-05,-6.46113e-06,8.80443e-05,1.84546e-05,8.60884e-05,3.69417e-05,3.53137e-05,1.55136e-05,3.17236e-05
0.285196,0.00802455,0.000148675,0.000143143,4.01796e-05,0.00911215,0.000103994,9.45169e-05,4.33744e-05,-6.32523e-06,8.78097e-05,1.83454e-05,8.5872e-05,3.67205e-05,3.51686e-05,1.53681e-05,3.16331e-05
